N,Iterative,Dynamic Programming,Recursive
1,0,0,0
2,1,1,1
3,2,2,3
4,3,3,7
5,4,4,14
6,5,5,26
7,6,6,46
8,7,7,79
9,8,8,133
10,9,9,221
11,10,10,364
12,11,11,596
13,12,12,972
14,13,13,1581
15,14,14,2567
16,15,15,4163
17,16,16,6746
18,17,17,10926
19,18,18,17690
20,19,19,28635
21,20,20,46345
22,21,21,75001
23,22,22,121368
24,23,23,196392
25,24,24,317784
26,25,25,514201
27,26,26,832011
28,27,27,1346239
29,28,28,2178278
30,29,29,3524546
31,30,30,5702854
32,31,31,9227431
33,32,32,14930317
34,33,33,24157781
35,34,34,39088132
36,35,35,63245948
37,36,36,102334116
38,37,37,165580101
39,38,38,267914255
40,39,39,433494395
