N,Iterative,Dynamic Programming,Recursive
1,0.000001,0.000001,0.000001
2,0.000001,0.000002,0.000001
3,0.000002,0.000002,0.000001
4,0.000002,0.000002,0.000002
5,0.000002,0.000003,0.000003
6,0.000002,0.000003,0.000004
7,0.000002,0.000003,0.000005
8,0.000002,0.000003,0.000008
9,0.000002,0.000003,0.000012
10,0.000002,0.000003,0.000018
11,0.000002,0.000004,0.000030
12,0.000002,0.000004,0.000047
13,0.000002,0.000004,0.000080
14,0.000002,0.000004,0.000119
15,0.000003,0.000004,0.000199
16,0.000003,0.000005,0.000324
17,0.000003,0.000004,0.000530
18,0.000003,0.000005,0.000870
19,0.000003,0.000005,0.001422
20,0.000003,0.000005,0.002188
21,0.000003,0.000005,0.003705
22,0.000003,0.000005,0.005690
23,0.000003,0.000005,0.009443
24,0.000003,0.000005,0.015346
25,0.000003,0.000005,0.025347
26,0.000003,0.000006,0.041896
27,0.000004,0.000006,0.068474
28,0.000004,0.000006,0.113262
29,0.000004,0.000006,0.171307
30,0.000004,0.000007,0.290601
31,0.000004,0.000007,0.475504
32,0.000004,0.000007,0.726349
33,0.000004,0.000007,1.180797
34,0.000004,0.000007,1.913255
35,0.000004,0.000007,3.099885
36,0.000004,0.000007,5.190321
37,0.000004,0.000008,8.379706
38,0.000004,0.000008,13.604995
39,0.000005,0.000008,22.545802
40,0.000005,0.000008,35.308695
