N,Iterative,Dynamic Programming,Recursive
0,0,0.000017,0
1,0,0.000012,0
2,0,0.000152,0.000006
3,0,0.000013,0
4,0,0.000013,0
5,0,0.000013,0
6,0,0.000013,0.000001
7,0,0.000013,0
8,0,0.000013,0.000001
9,0,0.000013,0.000001
10,0,0.000013,0.000002
11,0.000001,0.000012,0.000003
12,0,0.000013,0.000004
13,0,0.000013,0.000007
14,0,0.000013,0.000011
15,0,0.000013,0.000018
16,0,0.000013,0.000028
17,0,0.000013,0.000046
18,0,0.000013,0.000074
19,0,0.000013,0.000119
20,0,0.000013,0.000194
21,0,0.000013,0.000318
22,0.000001,0.000013,0.000503
23,0,0.000013,0.000815
24,0,0.000013,0.001339
25,0.000001,0.000013,0.002624
26,0.000001,0.000068,0.004186
27,0.000001,0.000016,0.003943
28,0.00001,0.00001,0.007438
29,0,0.000009,0.006522
30,0.000008,0.000009,0.010327
31,0.000001,0.000008,0.017088
32,0.000001,0.000009,0.031024
33,0.000001,0.000009,0.043891
34,0.000001,0.000009,0.070072
35,0.000006,0.000008,0.112893
36,0.000001,0.000009,0.181103
37,0.000001,0.000009,0.294914
38,0.000001,0.000009,0.479653
39,0.000001,0.000009,0.785541
40,0.000008,0.00001,1.300297
